brand,model,year,mileage,engine_size,price
BMW,K 1600 GT Premium,2016,10251.0,1600.0,15960.0
BMW,R 1200 GS Adventure Premium,2016,16820.0,1200.0,16650.0
BMW,K 1600 GT Premium,2016,18094.0,1600.0,13499.0
BMW,K100 RT,1985,39077.0,100.0,2490.0
BMW,F 850 GS Adventure Premium,2019,12404.0,850.0,13960.0
BMW,R 1200 GS Premium,2018,25266.0,1200.0,16950.0
BMW,K 1600 GTL Premium,2013,38982.0,1600.0,11950.0
BMW,R 1200 GS Adventure Premium,2016,23732.0,1200.0,15960.0
BMW,K 1600 GT,2014,27806.0,1600.0,12960.0
BMW,R 1200 GS Adventure Premium,2018,41354.0,1200.0,15491.0
BMW,K 1600 GT,2012,29640.0,1600.0,10950.0
BMW,R 1200 GS Rally Premium,2017,13793.0,1200.0,17950.0
BMW,K 16GL 1600 GTL,2018,57783.0,16.0,15523.0
BMW,F 800 GS Adventure Premium Alpine White,2016,15312.0,800.0,12266.0
BMW,K 1600 B Black Storm Metallic Premium,2018,25379.0,1600.0,16990.0
BMW,R 1200 GS Adventure Premium,2015,32556.0,1200.0,13950.0
BMW,R 1200 GS Adventure Premium,2016,14839.0,1200.0,16650.0
BMW,F 850 GS 850 GS ADVENTURE,2022,17.0,850.0,16689.0
BMW,R 1200 GS Adventure Premium,2018,1302.0,1200.0,18950.0
BMW,K 1200 LT,2002,29130.0,1200.0,4899.0
BMW,R 1200 GS,2011,35879.0,1200.0,8999.0
BMW,F 700 GS,2013,5807.0,700.0,7950.0
BMW,K 1600 GT,2014,29972.0,1600.0,12466.0
BMW,K 1600 GTL Premium,2019,13817.0,1600.0,22950.0
BMW,K 1600 GTL Black Premium,2021,2826.0,1600.0,25960.0
BMW,K 1600 B Premium,2019,9044.0,1600.0,18950.0
BMW,M 1000 RR,2022,357.0,1000.0,37000.0
BMW,R18 B,2022,0.0,18.0,26240.0
BMW,F900 XR,2022,0.0,900.0,14990.0
BMW,CE 04,2023,2.0,4.0,13470.0
BMW,R 1250 GS Adventure,2023,2.0,1250.0,28175.0
BMW,R1250 RS,2023,1.0,1250.0,19765.0
BMW,G 310 R,2023,0.0,310.0,5785.0
BMW,F 750,2019,3624.0,750.0,10500.0
BMW,S 1000 RR,2020,8100.0,1000.0,17500.0
BMW,R1250GS ADVENTURE 1250 GS ADVENTURE,2023,8.0,1250.0,24750.0
BMW,R1250GS ADVENTURE 1250 GS ADVENTURE,2022,4.0,1250.0,24315.0
BMW,R1250GS ADVENTURE 1250 GS ADVENTURE,2022,4.0,1250.0,24370.0
BMW,R 1200 RT,2009,38623.0,1200.0,6950.0
BMW,S 1000 XR,2016,6000.0,1000.0,11990.0
BMW,G 310 GS,2022,3.0,310.0,5945.0
